Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.100,280.161,0.590,1010,1.775
NewLearningBrain,0.097,280.952,0.605,1041,2.512
NewLearningBrain,0.097,281.596,0.479,1009,1.940
NewLearningBrain,0.095,282.441,0.651,1009,3.240
NewLearningBrain,0.132,283.534,0.833,1007,2.167
NewLearningBrain,0.096,284.345,0.627,1040,nan
NewLearningBrain,0.098,285.093,0.566,1064,1.995
NewLearningBrain,0.095,285.811,0.540,1020,1.663
NewLearningBrain,0.097,286.639,0.589,1016,6.030
NewLearningBrain,0.095,287.445,0.621,1040,nan
NewLearningBrain,0.099,288.184,0.552,1078,1.970
NewLearningBrain,0.109,289.144,0.746,1175,3.600
NewLearningBrain,0.100,289.976,0.629,1044,1.723
NewLearningBrain,0.097,290.774,0.620,1062,2.470
NewLearningBrain,0.098,291.476,0.531,1063,1.932
NewLearningBrain,0.097,292.268,0.605,1035,1.367
NewLearningBrain,0.095,293.067,0.573,1044,3.072
NewLearningBrain,0.106,293.911,0.627,1109,3.347
NewLearningBrain,0.095,294.830,0.719,1027,1.773
NewLearningBrain,0.107,295.491,0.485,1026,2.760
NewLearningBrain,0.100,296.294,0.611,1018,2.790
NewLearningBrain,0.096,297.091,0.609,1050,0.400
NewLearningBrain,0.110,297.899,0.610,1016,1.910
NewLearningBrain,0.103,298.677,0.592,1026,3.755
NewLearningBrain,0.135,299.500,0.592,1048,2.896
NewLearningBrain,0.098,300.264,0.550,1049,6.890
NewLearningBrain,0.103,301.157,0.688,1056,1.518
NewLearningBrain,0.099,301.859,0.527,1064,2.490
NewLearningBrain,0.104,302.682,0.631,1039,3.385
NewLearningBrain,0.099,303.489,0.608,1010,1.500
NewLearningBrain,0.096,304.131,0.477,1055,2.650
NewLearningBrain,0.131,305.087,0.724,1054,1.863
NewLearningBrain,0.106,305.941,0.662,1041,6.160
NewLearningBrain,0.094,306.767,0.587,1008,2.360
NewLearningBrain,0.095,307.582,0.631,1034,0.870
NewLearningBrain,0.097,308.260,0.510,1056,0.590
NewLearningBrain,0.103,309.082,0.621,1107,0.870
NewLearningBrain,0.105,309.928,0.651,1100,2.050
NewLearningBrain,0.106,310.842,0.710,1128,1.715
NewLearningBrain,0.109,311.562,0.533,1025,1.150
NewLearningBrain,0.110,312.330,0.576,1007,0.620
NewLearningBrain,0.108,313.157,0.623,1056,3.955
