Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.109,443.798,0.799,1032,2.244
bar,0.102,445.021,0.935,1028,0.622
bar,0.106,446.103,0.826,1098,7.192
bar,0.085,447.385,1.002,1107,3.341
bar,0.103,448.623,0.957,1076,11.735
bar,0.096,449.858,0.943,1071,11.319
bar,0.092,451.025,0.915,1040,nan
bar,0.103,452.033,0.765,1039,12.721
bar,0.120,453.308,0.962,1067,5.129
bar,0.093,454.420,0.852,1040,nan
bar,0.094,455.682,0.979,1075,7.468
bar,0.104,456.869,0.917,1070,5.336
bar,0.089,457.969,0.860,1037,-1.062
bar,0.093,459.157,0.907,1040,nan
bar,0.103,460.341,0.911,1040,6.532
bar,0.090,461.529,0.927,1040,nan
bar,0.108,462.697,0.919,1098,11.321
bar,0.098,463.847,0.891,1040,nan
bar,0.096,465.104,0.973,1076,7.468
bar,0.080,466.080,0.752,1036,-0.661
bar,0.097,467.301,0.930,1062,8.225
bar,0.093,468.512,0.941,1105,nan
bar,0.100,469.711,0.916,1040,nan
bar,0.091,470.949,0.965,1048,12.147
bar,0.088,472.064,0.761,1037,11.319
bar,0.093,473.282,0.950,1050,5.540
bar,0.099,474.517,0.952,1070,11.320
bar,0.088,475.708,0.930,1027,8.108
bar,0.115,476.706,0.745,1040,nan
bar,0.103,477.922,0.922,1040,nan
bar,0.095,479.134,0.943,1067,11.323
bar,0.090,480.372,0.953,1066,5.130
bar,0.101,481.471,0.842,1072,5.336
bar,0.098,482.571,0.837,1040,nan
bar,0.116,483.871,1.019,1040,nan
bar,0.123,485.121,0.995,1048,12.147
bar,0.097,486.275,0.906,1068,6.271
bar,0.086,487.524,0.991,1040,nan
bar,0.100,488.688,0.895,1041,11.596
bar,0.093,489.869,0.902,1028,-2.107
bar,0.091,490.971,0.845,1040,nan
bar,0.108,492.216,0.981,1040,nan
bar,0.094,493.532,1.017,1075,7.468
bar,0.107,494.656,0.861,1036,11.320
bar,0.094,495.841,0.915,1048,12.147
bar,0.089,496.899,0.815,1025,6.397
bar,0.106,498.202,0.989,1105,nan
bar,0.093,499.323,0.850,1040,nan
bar,0.091,500.530,0.928,1036,11.320
bar,0.094,501.675,0.884,1036,11.320
bar,0.101,502.901,0.934,1085,2.905
bar,0.116,504.113,0.908,1029,2.210
bar,0.081,505.147,0.800,1030,-1.060
bar,0.093,506.412,0.978,1044,5.751
bar,0.110,507.635,0.931,1037,-1.062
bar,0.106,508.797,0.873,1069,9.365
bar,0.093,509.992,0.910,1040,nan
bar,0.102,511.250,0.968,1071,11.319
bar,0.103,512.451,0.920,1041,11.596
bar,0.115,513.615,0.878,1049,12.016
bar,0.110,514.902,0.990,1070,11.320
bar,0.095,516.091,0.897,1064,8.838
bar,0.089,517.318,0.965,1048,12.147
bar,0.094,518.523,0.922,1040,nan
bar,0.091,519.579,0.812,1064,11.320
bar,0.111,520.919,1.023,1073,9.672
bar,0.101,522.147,0.947,1036,11.320
bar,0.101,523.230,0.854,1040,nan
bar,0.096,524.463,0.951,1040,nan
bar,0.113,525.579,0.841,1035,5.550
bar,0.091,526.760,0.903,1033,11.321
bar,0.108,527.907,0.856,1033,11.789
bar,0.102,529.142,0.940,1036,11.320
bar,0.099,530.359,0.937,1039,11.961
bar,0.101,531.450,0.821,1124,6.396
bar,0.106,532.758,1.026,1067,11.323
bar,0.092,534.021,0.978,1071,11.319
bar,0.101,535.199,0.894,1040,nan
bar,0.099,536.272,0.815,1027,12.159
bar,0.093,537.492,0.938,1087,5.551
bar,0.092,538.780,1.000,1048,12.147
bar,0.099,540.057,0.990,1067,11.323
bar,0.093,541.027,0.742,1069,11.321
bar,0.097,542.309,0.983,1040,nan
bar,0.103,543.571,0.970,1089,8.858
bar,0.096,544.707,0.859,1037,11.319
bar,0.090,545.928,0.942,1045,5.543
bar,0.098,546.987,0.807,1067,11.323
bar,0.101,548.220,0.944,1040,nan
bar,0.088,549.360,0.883,1032,9.954
bar,0.090,550.579,0.929,1105,nan
bar,0.110,551.718,0.851,1032,16.367
bar,0.095,552.924,0.929,1039,5.916
bar,0.083,554.152,0.947,1086,-0.587
bar,0.087,555.424,0.977,1042,3.341
bar,0.091,556.479,0.796,1058,-1.927
bar,0.090,557.758,0.981,1084,3.088
bar,0.097,558.795,0.792,1048,12.147
bar,0.100,560.108,1.007,1040,nan
bar,0.092,561.331,0.956,1036,8.840
bar,0.100,562.461,0.854,1028,-1.062
bar,0.100,563.629,0.890,1065,3.065
bar,0.099,564.773,0.876,1066,4.379
bar,0.122,566.042,0.953,1061,-0.738
bar,0.091,567.221,0.898,1071,11.319
bar,0.088,568.387,0.906,1040,nan
bar,0.107,569.635,0.941,1079,11.733
bar,0.097,570.693,0.797,1027,3.891
bar,0.108,571.910,0.930,1103,3.893
bar,0.095,573.243,1.044,1041,3.233
bar,0.091,574.527,0.990,1042,-0.696
bar,0.096,575.622,0.818,1105,nan
bar,0.095,576.757,0.871,1040,nan
bar,0.089,577.978,0.941,1065,8.435
bar,0.095,579.282,1.008,1078,11.734
bar,0.096,580.464,0.909,1041,11.596
bar,0.114,581.692,0.932,1048,12.147
bar,0.103,582.882,0.908,1043,8.849
bar,0.102,584.001,0.874,1053,-0.273
bar,0.093,585.180,0.906,1036,11.320
bar,0.098,586.375,0.917,1064,8.436
bar,0.098,587.567,0.934,1034,7.192
bar,0.094,588.695,0.856,1040,nan
bar,0.079,589.888,0.937,1044,7.725
bar,0.107,591.075,0.891,1040,nan
bar,0.110,592.378,0.987,1071,11.319
bar,0.099,593.599,0.971,1070,11.320
bar,0.113,594.611,0.765,1032,8.586
bar,0.105,595.855,0.955,1062,9.307
bar,0.109,597.169,1.007,1119,7.185
bar,0.089,598.472,1.008,1121,5.537
bar,0.092,599.776,1.019,1070,11.320
bar,0.095,600.793,0.757,1062,8.437
bar,0.089,602.120,1.023,1036,11.320
bar,0.089,603.329,0.941,1040,nan
bar,0.081,604.535,0.954,1079,5.334
bar,0.139,605.708,0.876,1032,9.396
bar,0.115,606.839,0.875,1040,nan
bar,0.098,608.146,1.008,1025,12.235
bar,0.097,609.296,0.879,1062,5.269
bar,0.097,610.485,0.910,1045,12.150
bar,0.108,611.737,0.940,1040,nan
bar,0.094,612.972,0.958,1079,11.733
bar,0.095,614.103,0.852,1058,8.572
bar,0.090,615.312,0.935,1105,nan
bar,0.109,616.617,0.998,1170,11.597
bar,0.099,617.910,0.989,1170,nan
bar,0.084,619.256,1.064,1136,11.319
bar,0.104,620.471,0.926,1025,8.858
bar,0.128,621.569,0.807,1033,7.192
bar,0.093,622.781,0.939,1056,4.583
bar,0.083,624.042,0.995,1127,11.321
bar,0.089,625.309,1.038,1125,2.525
bar,0.087,626.408,0.853,1040,nan
bar,0.102,627.619,0.932,1054,5.973
bar,0.102,628.900,0.987,1073,5.126
bar,0.099,630.091,0.901,1070,6.989
bar,0.102,631.225,0.862,1056,12.147
bar,0.091,632.470,0.961,1048,12.147
bar,0.093,633.721,0.966,1040,nan
bar,0.098,634.897,0.953,1040,nan
bar,0.094,636.013,0.880,1030,9.955
bar,0.093,637.103,0.830,1052,12.182
bar,0.109,638.397,0.988,1071,11.319
bar,0.097,639.547,0.883,1128,9.828
bar,0.106,640.882,1.030,1035,5.550
bar,0.093,642.071,0.917,1040,nan
bar,0.109,643.247,0.898,1071,11.319
bar,0.097,644.416,0.921,1037,11.319
bar,0.096,645.526,0.846,1039,7.480
bar,0.099,646.865,1.039,1034,10.287
bar,0.094,647.863,0.768,1038,-1.063
bar,0.108,649.137,0.971,1040,nan
bar,0.100,650.349,0.936,1040,nan
bar,0.100,651.518,0.893,1071,11.319
bar,0.099,652.687,0.886,1039,10.084
bar,0.098,653.910,0.940,1034,11.756
bar,0.098,655.099,0.938,1048,12.147
bar,0.096,656.172,0.861,1069,12.061
bar,0.088,657.348,0.916,1040,nan
bar,0.102,658.591,0.949,1059,6.396
bar,0.122,659.771,0.887,1064,11.320
bar,0.100,661.068,0.998,1144,11.733
bar,0.097,662.310,0.957,1069,6.989
bar,0.092,663.552,0.964,1040,nan
bar,0.101,664.704,0.889,1040,nan
bar,0.118,665.935,0.930,1079,11.733
bar,0.096,667.117,0.914,1097,9.396
bar,0.103,668.372,0.955,1040,nan
bar,0.103,669.622,0.952,1073,12.106
bar,0.090,670.916,1.014,1056,12.147
bar,0.083,671.919,0.765,1066,8.435
bar,0.085,673.142,0.958,1071,11.319
bar,0.099,674.404,0.969,1037,11.319
bar,0.137,675.579,0.903,1040,nan
bar,0.101,676.821,0.979,1066,8.435
bar,0.092,678.041,0.949,1075,11.735
bar,0.104,679.251,0.931,1079,11.733
bar,0.111,680.530,0.972,1040,nan
bar,0.107,681.568,0.775,1051,3.656
bar,0.104,682.892,1.019,1071,7.760
bar,0.103,684.101,0.916,1071,11.319
bar,0.090,685.348,0.981,1067,11.323
bar,0.097,686.528,0.907,1038,7.459
bar,0.098,687.607,0.813,1025,8.858
bar,0.088,688.897,1.006,1068,5.129
bar,0.098,690.197,0.997,1071,11.319
