Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.138,506.908,0.862,1028,-1.062
bar,0.127,507.880,0.740,1047,4.222
bar,0.236,509.012,0.787,1105,nan
bar,0.146,510.118,0.835,1040,nan
bar,0.170,511.244,0.839,1031,2.244
bar,0.188,512.586,1.037,1049,1.738
bar,0.160,513.608,0.756,1033,2.241
bar,0.173,514.857,0.939,1082,2.736
bar,0.139,516.095,0.977,1050,0.810
bar,0.186,517.347,0.942,1121,-1.061
bar,0.145,518.443,0.824,1071,-1.062
bar,0.215,519.646,0.863,1067,-1.061
bar,0.126,520.566,0.700,1075,-1.061
bar,0.137,521.431,0.629,1087,1.340
bar,0.154,522.503,0.790,1026,0.138
bar,0.158,523.721,0.929,1092,0.223
bar,0.124,524.856,0.883,1060,-1.062
bar,0.130,525.774,0.682,1072,-1.061
bar,0.181,526.960,0.882,1031,-0.947
bar,0.134,528.151,0.943,1054,1.415
bar,0.147,529.143,0.742,1040,nan
bar,0.152,530.509,1.135,1040,nan
bar,0.134,531.521,0.806,1066,8.435
bar,0.120,532.455,0.711,1036,2.241
bar,0.132,533.283,0.610,1040,nan
bar,0.137,534.336,0.800,1085,7.607
bar,0.128,535.286,0.723,1080,1.501
bar,0.120,536.237,0.729,1025,0.591
bar,0.146,537.105,0.627,1071,11.319
bar,0.129,538.086,0.769,1040,nan
bar,0.128,538.978,0.706,1040,nan
bar,0.137,539.812,0.614,1038,6.532
bar,0.124,540.783,0.737,1053,5.381
bar,0.126,541.726,0.715,1071,11.319
bar,0.139,542.673,0.696,1040,nan
bar,0.127,543.614,0.701,1056,12.147
bar,0.121,544.441,0.613,1035,5.550
bar,0.122,545.368,0.698,1070,11.320
bar,0.138,546.335,0.720,1040,nan
bar,0.131,547.311,0.729,1060,12.503
bar,0.122,548.092,0.573,1059,12.235
bar,0.147,549.080,0.733,1081,13.244
bar,0.137,549.984,0.674,1040,nan
bar,0.125,550.946,0.732,1048,12.147
bar,0.152,551.939,0.731,1035,5.550
bar,0.140,552.883,0.698,1041,11.596
bar,0.164,554.060,0.903,1033,11.321
bar,0.124,555.014,0.734,1057,7.721
bar,0.140,555.887,0.643,1066,8.435
bar,0.137,556.947,0.810,1040,nan
bar,0.176,558.024,0.783,1040,nan
bar,0.125,559.053,0.787,1067,5.129
bar,0.148,559.905,0.612,1065,8.435
bar,0.167,560.992,0.796,1124,11.667
bar,0.149,562.166,0.898,1060,11.743
bar,0.160,563.151,0.720,1035,5.550
bar,0.143,564.187,0.784,1037,-1.062
bar,0.139,565.142,0.715,1070,11.320
bar,0.122,566.148,0.768,1085,1.305
bar,0.147,567.088,0.682,1069,11.630
bar,0.196,568.240,0.834,1126,8.829
bar,0.148,569.375,0.860,1040,-1.065
bar,0.157,570.411,0.762,1040,nan
bar,0.133,571.435,0.798,1040,nan
bar,0.179,572.289,0.604,1043,8.849
bar,0.148,573.471,0.900,1062,8.225
bar,0.166,574.798,1.030,1073,5.336
bar,0.154,575.905,0.848,1037,11.223
bar,0.145,577.025,0.859,1047,5.542
bar,0.147,578.156,0.862,1034,-1.062
bar,0.153,579.156,0.732,1032,11.322
bar,0.128,593.732,0.798,1036,11.320
bar,0.185,594.871,0.828,1045,5.543
bar,0.143,595.967,0.832,1071,11.319
bar,0.166,597.105,0.860,1045,5.543
bar,0.149,598.262,0.888,1071,11.319
bar,0.136,599.421,0.896,1080,5.123
bar,0.143,600.499,0.812,1073,7.469
bar,0.189,601.571,0.767,1040,nan
bar,0.178,603.005,1.106,1079,11.733
bar,0.189,604.340,1.022,1071,11.319
bar,0.186,605.585,0.966,1040,nan
bar,0.148,606.729,0.866,1089,13.911
bar,0.141,607.712,0.738,1045,11.750
bar,0.140,608.704,0.737,1030,11.890
bar,0.145,609.854,0.879,1068,5.129
bar,0.123,610.835,0.749,1070,11.320
bar,0.148,611.790,0.707,1040,nan
bar,0.147,612.621,0.595,1040,nan
bar,0.123,613.530,0.683,1046,11.595
bar,0.143,614.508,0.733,1040,nan
bar,0.126,615.367,0.633,1043,11.886
bar,0.148,616.352,0.739,1056,12.147
bar,0.170,617.466,0.824,1040,nan
bar,0.172,618.558,0.788,1040,nan
bar,0.141,619.520,0.715,1036,11.320
bar,0.144,620.592,0.811,1048,12.147
bar,0.134,621.682,0.829,1071,11.319
bar,0.221,622.895,0.877,1031,12.192
bar,0.149,624.536,1.340,1056,12.147
bar,0.167,625.453,0.658,1040,nan
bar,0.182,626.533,0.780,1070,11.320
bar,0.151,627.740,0.926,1079,11.733
bar,0.172,628.871,0.837,1040,nan
bar,0.206,629.905,0.727,1041,11.596
