Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.206,443.433,0.965,1030,7.193
bar,0.187,444.817,0.990,1050,1.403
bar,0.183,446.281,1.065,1059,1.414
bar,0.182,447.593,0.952,1091,0.649
bar,0.169,448.931,1.012,1040,nan
bar,0.204,450.348,1.010,1089,8.858
bar,0.166,451.765,1.029,1040,nan
bar,0.211,453.152,0.976,1040,nan
bar,0.183,454.523,0.971,1041,8.431
bar,0.168,456.000,1.070,1075,11.735
bar,0.187,457.232,0.863,1032,9.954
bar,0.174,458.695,1.063,1037,0.516
bar,0.176,460.031,0.968,1035,0.745
bar,0.208,461.438,0.991,1037,-1.062
bar,0.200,462.670,0.846,1071,11.319
bar,0.198,464.187,1.071,1033,11.321
bar,0.180,465.530,0.953,1077,3.999
bar,0.199,467.027,1.071,1065,3.065
bar,0.172,468.398,0.984,1048,12.147
bar,0.178,469.660,0.900,1049,0.731
bar,0.189,471.116,1.057,1028,9.397
bar,0.183,472.287,0.828,1102,-1.062
bar,0.191,473.802,1.081,1048,12.147
bar,0.222,475.289,1.042,1043,11.596
bar,0.192,476.651,0.970,1036,11.320
bar,0.188,477.980,0.948,1035,5.550
bar,0.177,479.318,0.967,1071,11.319
bar,0.179,480.651,0.937,1040,nan
bar,0.170,482.091,1.058,1045,12.150
bar,0.213,483.312,0.850,1078,11.734
bar,0.214,484.805,1.057,1152,11.871
bar,0.173,486.191,1.000,1048,12.147
bar,0.192,487.523,0.934,1071,11.319
bar,0.170,489.015,1.094,1067,11.323
bar,0.164,490.405,1.005,1040,nan
bar,0.182,491.703,0.922,1040,nan
bar,0.179,493.100,1.008,1033,10.358
bar,0.177,494.537,1.054,1080,12.228
bar,0.182,495.875,0.959,1048,12.147
bar,0.201,497.252,0.979,1067,11.323
bar,0.179,498.700,1.044,1035,5.550
bar,0.211,500.241,1.125,1040,nan
bar,0.191,501.556,0.955,1035,11.320
bar,0.172,502.987,1.043,1075,11.526
bar,0.220,504.520,1.128,1071,11.319
bar,0.205,506.056,1.105,1034,8.353
bar,0.185,507.266,0.892,1040,nan
bar,0.180,508.609,1.017,1105,nan
bar,0.188,510.075,1.044,1131,11.320
bar,0.168,511.448,0.994,1074,11.768
bar,0.173,512.812,0.978,1086,8.860
bar,0.177,514.247,1.047,1056,12.147
bar,0.193,515.607,0.964,1040,nan
bar,0.188,517.077,1.089,1070,11.320
bar,0.189,518.196,0.778,1040,nan
bar,0.178,519.527,0.981,1033,9.954
bar,0.173,520.913,1.005,1087,11.871
bar,0.197,522.358,1.029,1050,12.210
bar,0.190,523.579,0.856,1048,12.147
bar,0.165,525.016,1.044,1070,11.320
bar,0.183,526.413,1.007,1040,nan
bar,0.186,527.844,1.019,1059,6.396
bar,0.181,529.171,0.949,1078,11.734
bar,0.186,530.416,0.902,1083,11.872
bar,0.191,531.993,1.173,1035,5.550
bar,0.206,533.446,1.075,1047,12.148
bar,0.202,534.761,0.922,1048,12.147
bar,0.167,535.888,0.801,1040,nan
bar,0.171,537.340,1.049,1032,9.396
bar,0.199,538.739,0.991,1040,nan
bar,0.186,540.247,1.114,1048,12.147
bar,0.206,541.664,1.015,1079,11.733
bar,0.182,542.898,0.910,1035,5.550
bar,0.199,544.480,1.137,1040,nan
bar,0.174,545.854,1.000,1045,11.595
bar,0.211,547.256,0.971,1105,nan
bar,0.178,548.719,1.065,1036,11.320
bar,0.182,549.968,0.887,1025,8.858
bar,0.189,551.410,1.024,1063,5.311
bar,0.174,552.865,1.055,1070,11.320
bar,0.183,554.240,1.024,1071,11.319
bar,0.212,555.615,1.001,1073,9.672
bar,0.187,556.877,0.889,1037,-1.062
bar,0.175,558.253,0.994,1062,11.307
bar,0.181,559.761,1.086,1079,11.733
bar,0.195,561.130,1.005,1033,7.192
bar,0.206,562.596,1.075,1059,6.396
bar,0.164,563.923,0.988,1070,11.320
bar,0.177,565.467,1.166,1068,5.129
bar,0.154,566.807,1.047,1040,nan
bar,0.184,567.983,0.823,1033,9.664
bar,0.172,569.460,1.075,1042,11.596
bar,0.192,570.799,0.947,1040,nan
bar,0.185,572.366,1.135,1077,11.734
bar,0.208,573.802,0.998,1040,5.545
bar,0.194,575.230,1.021,1037,11.319
bar,0.200,576.499,0.884,1071,11.319
bar,0.178,578.091,1.064,1030,7.193
bar,0.186,579.363,0.890,1040,nan
bar,0.204,580.804,1.025,1089,8.858
bar,0.189,582.221,1.004,1070,11.320
bar,0.167,583.586,0.994,1045,11.595
bar,0.201,585.002,0.994,1064,5.131
bar,0.160,586.322,0.959,1027,6.782
bar,0.155,587.697,1.009,1040,nan
bar,0.193,589.144,1.034,1040,nan
bar,0.189,590.499,0.992,1078,11.734
bar,0.164,591.618,0.785,1032,9.396
bar,0.186,592.996,0.977,1045,6.348
bar,0.174,594.413,1.020,1030,7.193
bar,0.184,595.792,0.987,1040,nan
bar,0.187,597.247,1.043,1035,5.550
bar,0.183,598.625,0.985,1040,nan
bar,0.186,599.958,0.954,1065,11.740
bar,0.182,601.180,0.880,1048,12.147
bar,0.202,602.672,1.073,1124,6.132
bar,0.190,604.221,1.109,1126,3.245
bar,0.211,605.663,1.010,1037,-1.062
bar,0.207,606.875,0.832,1040,nan
bar,0.175,608.196,0.971,1036,11.320
bar,0.152,609.629,1.068,1071,11.319
bar,0.204,611.110,1.044,1071,11.319
bar,0.183,612.608,1.091,1083,5.552
bar,0.165,613.775,0.874,1048,12.147
bar,0.201,615.251,1.074,1040,nan
bar,0.210,616.792,1.111,1080,7.808
bar,0.215,618.109,0.919,1032,9.396
bar,0.186,619.626,1.113,1040,nan
bar,0.169,620.771,0.807,1067,11.323
bar,0.190,622.291,1.108,1071,11.319
bar,0.189,623.679,0.997,1063,5.269
bar,0.199,625.170,1.089,1036,11.320
bar,0.174,626.674,1.105,1037,11.319
bar,0.182,627.969,0.925,1040,nan
bar,0.152,629.373,1.043,1068,5.536
bar,0.166,630.657,0.927,1037,-1.062
bar,0.183,632.094,1.035,1074,11.826
bar,0.184,633.516,1.015,1084,5.828
bar,0.176,634.886,0.993,1071,11.319
bar,0.186,636.267,0.987,1053,9.681
bar,0.173,637.784,1.130,1067,11.323
bar,0.192,639.101,0.922,1040,nan
bar,0.188,640.482,1.008,1036,11.320
bar,0.178,641.972,1.076,1050,11.905
bar,0.168,643.256,0.915,1055,9.678
bar,0.188,644.608,0.967,1067,11.323
bar,0.181,645.981,0.974,1040,nan
bar,0.176,647.507,1.121,1105,nan
bar,0.183,648.933,1.059,1033,9.396
bar,0.166,650.431,1.119,1067,5.532
bar,0.183,651.778,0.980,1033,11.889
bar,0.190,653.219,1.038,1074,13.056
bar,0.167,654.579,0.986,1040,nan
bar,0.177,655.958,0.995,1045,12.150
bar,0.176,657.358,1.021,1055,9.678
bar,0.203,658.784,1.019,1067,5.129
